EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
673927.500,235782.200,-147990.300,750000.100,-56240.750,693499.100,750000.100,173285.300,0.000
726975.300,337356.900,102929.700,362166.100,157089.900,750000.100,750000.100,118953.200,0.000
623493.300,517686.400,408633.100,-174946.000,524090.400,750000.100,750000.100,139241.900,0.000
622684.600,643050.900,468112.500,-750000.100,587296.300,695506.800,731601.000,428539.400,0.000
750000.100,666999.000,558457.100,-750000.100,596845.900,620031.800,746171.900,500272.800,0.000
750000.100,721315.700,681350.100,88743.230,701767.800,633950.300,750000.100,731598.600,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,700200.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,666307.700,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,665739.500,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,569110.900,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,656553.800,750000.100,498200.800,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,615704.300,750000.100,469596.600,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,593622.700,750000.100,454171.700,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,570738.300,750000.100,438906.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,547241.600,750000.100,423901.900,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,526425.200,750000.100,410595.900,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,511338.200,750000.100,400126.800,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,498467.300,750000.100,390684.200,0.000
