EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
58410.950,20435.820,-12826.680,65004.340,-4874.523,60107.270,65004.340,15019.060,0.000
234751.800,89326.060,-28792.530,222519.100,-716.972,241735.000,256133.600,54469.820,0.000
447885.300,203816.700,15843.980,309259.900,68050.030,470775.100,488262.500,96015.040,0.000
600121.100,348843.400,140934.400,183079.100,219540.400,650510.100,667242.000,151164.600,0.000
694795.500,499206.900,296311.600,-108343.300,392822.500,749781.100,778556.000,250814.600,0.000
748064.100,621025.700,452069.100,-360132.700,541749.800,762504.400,819054.800,384994.700,0.000
755474.900,701616.000,596650.600,-352583.000,660557.900,723305.600,799022.200,532573.400,0.000
739990.900,744418.400,701657.000,-74804.370,735148.600,689259.800,757824.800,663104.300,0.000
741094.600,759814.100,750644.800,312297.800,759297.900,691955.100,739696.900,749599.600,0.000
761336.300,762744.300,763170.100,651198.000,758171.200,726591.800,751136.800,787817.200,0.000
770405.300,761929.300,767548.800,835471.500,759586.200,760498.100,762166.000,786111.800,0.000
752244.200,757324.700,770694.700,839909.600,765499.000,762625.300,750281.600,765591.300,0.000
727602.400,748597.300,764508.900,753477.700,761967.400,739512.600,728309.000,749745.400,0.000
724417.300,740170.900,748542.400,710920.800,746144.400,724168.400,722717.400,747244.300,0.000
740521.400,736825.400,735542.200,755888.500,732471.600,732790.100,736414.600,749108.800,0.000
749188.100,737624.700,735266.300,807349.300,732929.100,747293.600,746673.300,737121.300,0.000
736399.800,737282.100,741809.000,785057.700,741196.100,743594.600,737332.400,697440.500,0.000
717741.000,733006.600,742170.500,716791.500,742146.100,716068.100,719302.100,635234.200,0.000
714790.800,727536.100,733334.900,690866.700,732081.400,676650.100,713522.100,567073.300,0.000
726242.000,724819.300,724714.300,733218.100,722095.200,642010.100,722631.100,503685.800,0.000
732160.000,724718.300,724286.000,778749.800,721870.300,610503.700,729637.600,449525.900,0.000
