timestamps,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,stim
1681374978.5103092,238481.859375,710347.3125,710477.875,532797.9375,710433.125,710824.125,710681.0625,272155.375,0.0
1681374978.5229583,237452.15625,710244.5,710375.3125,532234.875,710330.8125,710721.5625,710578.8125,271376.21875,0.0
1681374978.5259793,238350.25,710287.75,710418.5,532641.9375,710374.3125,710764.875,710622.0,271500.03125,0.0
1681374978.5260167,239379.6875,710378.0625,710508.625,533135.5625,710464.6875,710855.25,710712.3125,272069.75,0.0
1681374978.5340967,239462.390625,710415.625,710546.25,533220.375,710502.1875,710892.625,710749.9375,272428.625,0.0
1681374978.5620615,238433.765625,710350.8125,710481.625,532650.4375,710437.25,710827.5,710685.4375,272079.3125,0.0
1681374978.562084,237388.234375,710247.375,710378.4375,532047.4375,710334.25,710724.375,710582.375,271293.96875,0.0
1681374978.574054,238278.90625,710291.0625,710422.4375,532435.375,710378.0625,710768.4375,710625.9375,271414.46875,0.0
1681374978.5765142,239315.125,710377.1875,710508.6875,532914.25,710464.375,710855.0625,710712.3125,271982.21875,0.0
1681374978.5877419,239394.4375,710417.75,710548.6875,532987.5625,710504.75,710895.375,710752.3125,272339.125,0.0
1681374978.5908403,238380.203125,710355.0,710485.8125,532424.0625,710441.75,710832.4375,710689.6875,271996.0625,0.0
1681374978.5908525,237339.6875,710252.1875,710383.0625,531815.8125,710338.375,710729.0625,710586.6875,271213.65625,0.0
1681374978.5927768,238219.890625,710295.75,710426.8125,532244.125,710382.5625,710773.25,710630.75,271331.6875,0.0
1681374978.5952277,239255.234375,710382.625,710514.0625,532740.0,710469.375,710860.0,710717.8125,271893.875,0.0
1681374978.600227,239336.5,710417.4375,710548.5625,532788.4375,710503.8125,710894.875,710752.0625,272245.5,0.0
1681374978.6033404,238319.140625,710353.0625,710483.875,532199.0625,710439.4375,710830.0625,710687.5,271903.875,0.0
1681374978.6033852,237260.296875,710250.4375,710381.5,531573.5,710337.0625,710727.3125,710585.3125,271113.0,0.0
1681374978.6058147,238146.046875,710294.1875,710426.0,531950.875,710381.75,710772.0,710629.6875,271225.1875,0.0
1681374978.6058483,239182.453125,710379.5,710511.0,532430.0,710467.0625,710857.5,710714.625,271785.25,0.0
1681374978.607815,239272.03125,710417.25,710549.125,532515.6875,710504.25,710894.875,710752.3125,272142.6875,0.0
1681374978.6102543,238276.40625,710356.1875,710487.875,531967.1875,710443.0625,710833.5,710691.25,271812.6875,0.0
1681374978.6152697,237207.453125,710251.0625,710382.625,531345.8125,710338.125,710728.4375,710586.125,271019.28125,0.0
1681374978.61832,238072.734375,710291.5625,710423.25,531711.625,710378.6875,710768.8125,710626.625,271118.4375,0.0
1681374978.618332,239120.578125,710377.8125,710509.5,532192.75,710464.6875,710855.0625,710712.9375,271683.84375,0.0
1681374978.6202517,239219.5625,710414.8125,710546.625,532274.875,710502.0,710892.25,710750.0,272046.125,0.0
1681374978.6233249,238232.765625,710356.25,710487.6875,531722.625,710443.375,710833.8125,710691.4375,271726.9375,0.0
1681374978.6233404,237158.09375,710253.0,710384.625,531096.625,710340.1875,710730.3125,710588.375,270934.8125,0.0
1681374978.6252549,238010.6875,710291.625,710424.0625,531456.8125,710379.5,710769.3125,710627.5,271028.3125,0.0
1681374978.6283157,239063.1875,710377.875,710510.25,531934.375,710465.9375,710855.9375,710713.4375,271592.65625,0.0
1681374978.6283348,239169.9375,710417.9375,710550.25,532006.5625,710505.9375,710896.0,710753.875,271961.8125,0.0
1681374978.632718,238180.015625,710357.8125,710490.375,531452.375,710445.875,710835.6875,710693.9375,271639.25,0.0
1681374978.6365216,237106.25,710254.3125,710387.3125,530827.0625,710342.4375,710732.6875,710590.875,270851.46875,0.0
1681374978.6482978,237954.8125,710295.8125,710428.4375,531189.6875,710384.0,710774.6875,710632.4375,270945.53125,0.0
1681374978.6483228,238999.171875,710383.0,710515.5625,531669.5,710471.0625,710861.4375,710719.25,271498.0625,0.0
1681374978.650808,239110.84375,710421.875,710553.9375,531761.6875,710509.75,710899.75,710757.625,271865.625,0.0
1681374978.6508145,238137.203125,710361.1875,710493.25,531219.8125,710448.5625,710838.8125,710696.375,271551.625,0.0
1681374978.6602862,237057.609375,710257.9375,710390.6875,530594.75,710345.875,710736.3125,710593.625,270762.4375,0.0
1681374978.6683729,237890.796875,710292.4375,710425.4375,530943.1875,710380.75,710770.875,710628.6875,270840.40625,0.0
1681374978.6683996,238948.5625,710380.75,710513.625,531428.1875,710469.0,710859.0625,710716.6875,271403.65625,0.0
1681374978.6708193,239066.046875,710420.8125,710554.1875,531518.8125,710509.3125,710899.125,710757.0625,271770.75,0.0
1681374978.6708367,238092.21875,710363.4375,710496.5625,530981.375,710451.5,710841.5625,710699.5625,271463.5625,0.0
1681374978.6852612,236986.609375,710256.125,710389.25,530319.375,710344.5625,710734.875,710592.5,270663.0,0.0
1681374978.7115695,237818.734375,710291.6875,710424.6875,530656.4375,710380.125,710770.5,710628.0625,270744.71875,0.0
1681374978.7116559,238883.203125,710379.9375,710512.75,531158.5,710468.375,710858.75,710716.3125,271310.3125,0.0
1681374978.7116792,239004.796875,710418.75,710551.625,531262.1875,710507.125,710897.6875,710755.125,271677.875,0.0
1681374978.7446294,238047.96875,710363.125,710495.9375,530737.4375,710451.1875,710841.75,710699.3125,271379.59375,0.0
1681374978.744652,236940.484375,710257.625,710390.75,530094.375,710345.875,710736.25,710593.8125,270582.4375,0.0
1681374978.7552428,237763.65625,710296.25,710429.75,530432.75,710384.4375,710775.5,710633.0,270661.21875,0.0
1681374978.7552676,238836.265625,710384.9375,710518.375,530923.9375,710473.0,710863.8125,710721.3125,271228.34375,0.0
1681374978.7552724,238973.859375,710430.625,710564.125,531034.5625,710518.6875,710909.3125,710767.0,271618.9375,0.0
1681374978.7577412,238019.359375,710377.75,710510.75,530508.6875,710465.875,710856.4375,710713.8125,271333.125,0.0
1681374978.7602239,236903.5625,710274.1875,710407.3125,529872.375,710362.25,710752.4375,710610.375,270540.4375,0.0
1681374978.7627432,237708.9375,710311.5,710444.9375,530220.0,710399.5625,710789.875,710647.8125,270611.34375,0.0
1681374978.765273,238767.515625,710396.4375,710529.875,530702.5,710484.5625,710875.625,710733.125,271167.625,0.0
1681374978.772755,238892.859375,710435.5625,710569.5,530792.0625,710524.25,710915.5,710772.4375,271532.9375,0.0
1681374978.775242,237941.21875,710377.875,710511.625,530259.75,710466.3125,710857.375,710714.5,271233.78125,0.0
1681374978.7777407,236811.5625,710265.6875,710399.25,529606.125,710354.125,710744.75,710602.25,270423.9375,0.0
1681374978.7852364,237615.421875,710299.0625,710433.0625,529944.75,710388.1875,710778.0625,710635.6875,270488.40625,0.0
1681374978.7877448,238693.03125,710386.75,710520.6875,530438.0625,710475.375,710865.625,710723.625,271052.28125,0.0
1681374978.7902603,238827.15625,710428.6875,710562.4375,530540.5,710517.1875,710907.4375,710765.375,271428.34375,0.0
1681374978.792749,237890.078125,710376.0,710509.75,530021.6875,710464.5625,710855.0625,710712.5625,271152.0625,0.0
1681374978.7952597,236755.859375,710267.3125,710401.25,529368.0,710356.0625,710746.5,710603.9375,270346.59375,0.0
1681374978.7977548,237552.109375,710301.625,710435.375,529707.9375,710390.0625,710780.75,710638.25,270404.4375,0.0
1681374978.8002546,238635.453125,710390.125,710523.625,530206.3125,710478.5625,710868.9375,710726.4375,270965.84375,0.0
1681374978.8083296,238782.890625,710432.0,710565.0,530315.125,710520.25,710910.75,710768.4375,271349.125,0.0
1681374978.8083537,237847.78125,710377.375,710510.5,529800.9375,710465.3125,710856.25,710714.0,271075.96875,0.0
1681374978.8102293,236702.296875,710269.6875,710403.125,529140.625,710358.25,710748.6875,710606.625,270272.65625,0.0
1681374978.8127456,237484.4375,710302.0625,710435.8125,529468.4375,710391.0625,710781.375,710639.4375,270321.21875,0.0
1681374978.8158288,238572.78125,710391.0625,710525.25,529966.5,710480.4375,710870.8125,710728.75,270886.25,0.0
1681374978.8158529,238726.296875,710435.75,710569.5,529988.875,710524.375,710914.9375,710772.625,271272.9375,0.0
1681374978.820252,237794.953125,710377.625,710511.75,529013.0625,710466.4375,710857.0625,710714.25,270990.40625,0.0
1681374978.8233027,236647.671875,710269.0625,710403.5625,528186.5,710358.25,710748.5,710606.0625,270182.96875,0.0
1681374978.8233223,237422.75,710301.875,710436.3125,528617.8125,710391.125,710781.3125,710639.125,270231.25,0.0
1681374978.8252687,238514.046875,710390.0625,710524.5,529233.375,710479.1875,710869.4375,710727.125,270794.875,0.0
1681374978.828329,238674.265625,710434.25,710568.5,529445.25,710522.8125,710913.4375,710771.5,271185.3125,0.0
